date,region,region_name,cumulative_confirmed,daily_new_confirmed,daily_new_confirmed_ma7
2020-03-01,al,Alabama,0.0,0.0,0.0
2020-03-02,al,Alabama,0.0,0.0,0.0
2020-03-03,al,Alabama,0.0,0.0,0.0
2020-03-04,al,Alabama,0.0,0.0,0.0
2020-03-05,al,Alabama,0.0,0.0,0.0
2020-03-06,al,Alabama,0.0,0.0,0.0
2020-03-07,al,Alabama,0.0,0.0,0.0
2020-03-08,al,Alabama,0.0,0.0,0.0
2020-03-09,al,Alabama,0.0,0.0,0.0
2020-03-10,al,Alabama,0.0,0.0,0.0
2020-03-11,al,Alabama,3.0,3.0,0.4285714328289032
2020-03-12,al,Alabama,4.0,1.0,0.5714285969734192
2020-03-13,al,Alabama,8.0,4.0,1.1428571939468384
2020-03-14,al,Alabama,15.0,7.0,2.142857074737549
2020-03-15,al,Alabama,28.0,13.0,4.0
2020-03-16,al,Alabama,36.0,8.0,5.142857074737549
2020-03-17,al,Alabama,51.0,15.0,7.285714149475098
2020-03-18,al,Alabama,61.0,10.0,8.285714149475098
2020-03-19,al,Alabama,88.0,27.0,12.0
2020-03-20,al,Alabama,115.0,27.0,15.285714149475098
2020-03-21,al,Alabama,149.0,34.0,19.14285659790039
2020-03-22,al,Alabama,180.0,31.0,21.714284896850586
2020-03-23,al,Alabama,224.0,44.0,26.85714340209961
2020-03-24,al,Alabama,298.0,74.0,35.28571319580078
2020-03-25,al,Alabama,472.0,174.0,58.71428680419922
2020-03-26,al,Alabama,574.0,102.0,69.42857360839844
2020-03-27,al,Alabama,684.0,110.0,81.28571319580078
2020-03-28,al,Alabama,801.0,117.0,93.14286041259766
2020-03-29,al,Alabama,880.0,79.0,100.0
2020-03-30,al,Alabama,1001.0,121.0,111.0
2020-03-31,al,Alabama,1063.0,62.0,109.28571319580078
2020-04-01,al,Alabama,1175.0,112.0,100.42857360839844
2020-04-02,al,Alabama,1371.0,196.0,113.85713958740234
2020-04-03,al,Alabama,1606.0,235.0,131.7142791748047
2020-04-04,al,Alabama,1727.0,121.0,132.2857208251953
2020-04-05,al,Alabama,1905.0,178.0,146.42857360839844
2020-04-06,al,Alabama,2079.0,174.0,154.0
2020-04-07,al,Alabama,2308.0,229.0,177.85714721679688
2020-04-08,al,Alabama,2614.0,306.0,205.57142639160156
2020-04-09,al,Alabama,2954.0,340.0,226.14285278320312
2020-04-10,al,Alabama,3112.0,158.0,215.14285278320312
2020-04-11,al,Alabama,3346.0,234.0,231.2857208251953
